id,name,group,description,themes,source
1,Horizontal gene transfer,Microbial,Bacteria acquire functional genes directly from unrelated lineages rather than from parents.,Knowledge transfer; Absorptive capacity; Boundaries of the firm,
2,Quorum sensing,Microbial,"Cells stay silent until a chemical concentration signals that enough peers are present, then act together.",Collective action; Decision making; Coordination,
3,Persister cells,Microbial,A tiny dormant subpopulation survives antibiotics not by resistance but by doing nothing.,Organizational slack; Resilience; Adaptation,
4,Toxin-antitoxin addiction modules,Microbial,"A plasmid encodes a stable poison and an unstable antidote, so any cell that discards it dies.",Governance; Agency and incentives; Resource dependence,
5,Bacterial competence under stress,Microbial,Some species only open their membranes to foreign DNA when starving or damaged.,Absorptive capacity; Crisis management; Organizational learning,
6,CRISPR adaptive immunity,Microbial,Bacteria store fragments of past viral attackers as a searchable genomic archive.,Organizational memory; Organizational learning; Crisis management,
7,Restriction-modification systems,Microbial,Cells methylate their own DNA so an enzyme can shred anything unmarked as self.,Organizational identity; Boundaries of the firm; Selection and staffing,
8,Kin discrimination in swarming Bacillus,Microbial,Two swarms of near-identical bacteria meeting will form a visible boundary rather than merge.,Mergers and acquisitions; Organizational identity; Coordination,
9,Biofilm formation,Microbial,"Free-swimming cells settle, secrete a shared matrix, and differentiate into specialized layers.",Boundaries of the firm; Organizational design; Ecosystems and platforms,
10,Public goods cheating in microbial colonies,Microbial,Non-producers exploit costly secreted enzymes made by neighbors and can crash the colony.,Cooperation; Governance; Agency and incentives,
11,Lysogeny versus lysis in bacteriophages,Microbial,A virus can integrate silently into the host genome for generations or kill it immediately.,Strategy; Temporality and timing; Mergers and acquisitions,
12,Bacterial sporulation,Microbial,Cells build a near-indestructible dormant capsule and abandon metabolism entirely.,Resilience; Organizational decline; Adaptation,
13,Magnetotactic bacteria,Microbial,Cells build internal magnetite chains and orient passively along geomagnetic field lines.,Coordination; Organizational design; Leadership,
14,Chemotaxis by biased random walk,Microbial,"Bacteria cannot sense direction, only change over time, and bias their tumbling accordingly.",Search and attention; Decision making; Organizational learning,
15,Programmed cell death (apoptosis),Microbial,Cells run an orderly self-destruct routine that protects the larger system.,Exit and divestiture; Organizational design; Governance,
16,Anastasis,Microbial,Cells partway through apoptosis can reverse course and recover if the signal is withdrawn.,Exit and divestiture; Organizational change; Decision making,
17,Cellular senescence and SASP,Microbial,Aged cells stop dividing but stay alive emitting inflammatory signals that damage neighbors.,Organizational decline; Exit and divestiture; Organizational pathology,
18,Contact inhibition,Microbial,Normal cells halt division when they touch enough neighbors.,Growth and scaling; Organizational design; Competitive dynamics,
19,Loss of contact inhibition in tumors,Microbial,Cancer cells ignore crowding cues and keep proliferating into neighboring tissue.,Power and politics; Growth and scaling; Organizational pathology,
20,Endosymbiosis,Microbial,"An engulfed bacterium became a permanent organelle, shedding most of its own genome.",Mergers and acquisitions; Routines and capabilities; Boundaries of the firm,
21,Slime mould network optimization,Microbial,"Physarum grows a foraging network that converges on efficient, fault-tolerant topologies with no brain.",Coordination; Organizational design; Interorganizational networks,
22,Dictyostelium aggregation and stalk sacrifice,Microbial,Starving amoebae fuse into a slug; a fifth become a dead stalk so the rest can disperse.,Collective action; Cooperation; Teams and groups,
23,Antibiotic tolerance versus resistance,Microbial,Tolerance buys time by slowing down; resistance changes the target. They have different economics.,Adaptation; Resilience; Strategy,
24,Microbial syntrophy,Microbial,Two species each perform a reaction that is thermodynamically impossible without the other.,Alliances; Resource dependence; Cooperation,
25,Viral quasispecies,Microbial,"A virus population exists as a mutant cloud, not a type, and selection acts on the cloud.",Evolutionary theory; Adaptation; Routines and capabilities,
26,Error catastrophe threshold,Microbial,Above a critical mutation rate a viral population loses its information and collapses.,Innovation; Exploration and exploitation; Risk and uncertainty,
27,Mycorrhizal networks,Fungal,"Fungal filaments link separate trees, moving carbon and warning signals between them.",Interorganizational networks; Knowledge transfer; Resource allocation,
28,Ophiocordyceps zombie-ant manipulation,Fungal,"A fungus rewires ant behavior to make it climb, bite, and die where the fungus reproduces.",Institutional theory; Power and politics; Agency and incentives,
29,Lichen symbiosis,Fungal,"Fungus and alga form a composite with a name, form, and ecology none of the partners has alone.",Alliances; Organizational identity; Boundaries of the firm,
30,Armillaria clonal expansion,Fungal,A single genetic individual spreads underground across thousands of acres for millennia.,Growth and scaling; Organizational design; Boundaries of the firm,
31,Hyphal anastomosis,Fungal,"Growing filaments fuse on contact, converting separate foraging fronts into one shared network.",Interorganizational networks; Mergers and acquisitions; Exploration and exploitation,
32,Truffle chemical mimicry,Fungal,Underground fruit bodies emit mammalian-like pheromones to recruit animals as dispersers.,Signaling; Ecosystems and platforms; Impression management,
33,Fungal hyphal foraging memory,Fungal,"Networks reinforce productive branches and abandon others, encoding history in their shape.",Path dependence; Organizational memory; Resource allocation,
34,Yeast petite mutants,Fungal,Respiration-deficient yeast grow faster on sugar and can outcompete healthier cells short term.,Competitive dynamics; Organizational ecology; Temporality and timing,
35,Leafcutter ant fungus gardens,Fungal,"Ants farm a fungus, feed it leaves they cannot digest, and host bacteria that make antibiotics for it.",Alliances; Boundaries of the firm; Ecosystems and platforms,
36,Sclerotia formation,Fungal,Fungi compress into hardened resting masses that survive years and germinate on cue.,Organizational slack; Resilience; Temporality and timing,
37,Masting,Plant,"Whole forests synchronize seed production in rare massive pulses, starving then swamping predators.",Temporality and timing; Competitive dynamics; Collective action,
38,Allelopathy,Plant,Plants release chemicals that suppress germination of competitors nearby.,Competitive dynamics; Strategy; Power and politics,
39,Serotiny,Plant,Cones stay sealed with resin for decades and open only in the heat of a fire.,Crisis management; Temporality and timing; Routines and capabilities,
40,Persistent soil seed banks,Plant,"Viable seeds wait decades underground, germinating in staggered cohorts rather than all at once.",Exploration and exploitation; Risk and uncertainty; Resource allocation,
41,Resurrection plants,Plant,"Some plants lose 95 percent of their water, appear dead for years, and rehydrate in hours.",Resilience; Organizational decline; Adaptation,
42,Hydraulic redistribution,Plant,"Deep roots pull water at night and release it into dry shallow soil, subsidizing the whole root zone and neighbors.",Resource allocation; Organizational design; Interorganizational networks,
43,Pando aspen clone,Plant,Thousands of apparently separate trees are one organism sharing a single root system.,Boundaries of the firm; Growth and scaling; Organizational design,
44,Carnivorous plants,Plant,Plants in nutrient-poor bogs obtain nitrogen by trapping animals instead of via roots.,Strategy; Innovation; Resource dependence,
45,Mimosa habituation,Plant,"Repeatedly dropped plants stop folding their leaves, and remember the harmless stimulus for weeks.",Organizational learning; Reliability and safety; Search and attention,
46,Herbivore-induced volatiles,Plant,Attacked plants emit airborne chemicals that prime the defenses of unrelated neighbors.,Signaling; Communication; Crisis management,
47,Extrafloral nectaries,Plant,Plants pay ants in sugar to patrol their leaves and attack herbivores.,Boundaries of the firm; Alliances; Governance,
48,Strangler figs,Plant,"A seedling germinates in a host tree's canopy, roots downward, and eventually replaces the host structurally.",Ecosystems and platforms; Competitive dynamics; Entrepreneurship,
49,Epiphytes,Plant,"Plants live entirely on other plants without parasitizing them, using only their structural position.",Ecosystems and platforms; Resource dependence; Strategy,
50,Myrmecophyte domatia,Plant,Plants grow hollow chambers specifically to house colonies of defending ants.,Alliances; Organizational design; Ecosystems and platforms,
51,Crown shyness,Plant,"Adjacent tree canopies stop growing just short of touching, leaving visible channels of sky.",Coordination; Power and politics; Rules and bureaucracy,
52,CODIT compartmentalization,Plant,Trees do not heal wounds; they wall off damaged tissue and grow around it permanently.,Crisis management; Organizational pathology; Organizational design,
53,Xylem cavitation cascades,Plant,One air bubble in a water column can propagate and disable an entire hydraulic pathway.,Reliability and safety; Risk and uncertainty; Interorganizational networks,
54,Vernalization,Plant,Many plants will not flower unless they have first experienced a prolonged cold period.,Organizational change; Temporality and timing; Adaptation,
55,Thigmomorphogenesis,Plant,Wind-shaken stems grow shorter and thicker; trees grown without stress fall over.,Resilience; Adaptation; Stress and wellbeing,
56,Reaction wood,Plant,Trees lay down asymmetric tissue on one side to counteract a persistent directional load.,Adaptation; Routines and capabilities; Competitive dynamics,
57,Cleistogamy,Plant,Some plants make cheap closed self-pollinating flowers alongside costly open ones.,Exploration and exploitation; Resource allocation; Boundaries of the firm,
58,Holoparasitic plants,Plant,"Rafflesia and dodder lost photosynthesis, roots, and most of their genome, retaining only host attachment.",Boundaries of the firm; Routines and capabilities; Resource dependence,
59,Nurse plant facilitation,Plant,Seedlings survive only in the shade of established plants they will later outcompete.,Entrepreneurship; Ecosystems and platforms; Competitive dynamics,
60,Heterophylly,Plant,One plant produces structurally different leaves above and below water on the same stem.,Exploration and exploitation; Organizational design; Adaptation,
61,Mangrove viviparity,Plant,Seeds germinate while still attached to the parent and drop as established seedlings.,Spinoffs; Entrepreneurship; Resource allocation,
62,Gall induction,Plant,An insect chemically hijacks plant development to build itself a custom-made nutritive shelter.,Power and politics; Resource dependence; Boundaries of the firm,
63,Aerenchyma formation,Plant,Flooded roots kill selected cells to create internal air channels to the surface.,Organizational design; Crisis management; Communication,
64,Cladoptosis,Plant,Trees actively shed whole living branches that no longer pay for themselves.,Exit and divestiture; Routines and capabilities; Resource allocation,
65,Bamboo semelparous mass flowering,Plant,"Entire bamboo populations flower once after over a century, seed, and die together.",Temporality and timing; Organizational ecology; Imprinting,
66,Corpse flower rare bloom,Plant,Years of underground accumulation produce a single enormous short-lived flower.,Temporality and timing; Impression management; Resource allocation,
67,Skototropism,Plant,"Some vines grow toward darkness, because darkness indicates a large trunk worth climbing.",Search and attention; Decision making; Strategy,
68,Halophyte salt excretion,Plant,Salt-tolerant plants take in toxic ions and actively pump them out through specialized glands.,Adaptation; Resource allocation; Strategy,
69,Honeybee nest-site quorum,Insect,"Scouts advertise sites, cross-inspect rivals' finds, and commit only when a quorum gathers at one.",Decision making; Collective action; Teams and groups,
70,Tremble dance,Insect,"Foragers signal that nectar processing capacity is saturated, throttling further recruitment.",Coordination; Communication; Growth and scaling,
71,Stigmergy,Insect,"Termites and ants coordinate by modifying a shared environment, not by communicating with each other.",Coordination; Organizational memory; Communication,
72,Ant death spiral,Insect,Ants that lose the trail's end follow each other in a closed circle until they die of exhaustion.,Organizational pathology; Rules and bureaucracy; Routines and capabilities,
73,Tandem running,Insect,"One ant leads another to a resource, slowing when the follower falls behind and waiting for contact.",Organizational learning; Careers and mobility; Teams and groups,
74,Slave-making ants,Insect,Polyergus raids other colonies for brood and cannot feed itself without the captured workers.,Selection and staffing; Routines and capabilities; Resource dependence,
75,Honeypot ant repletes,Insect,"Some workers become immobile living storage vessels, gorged and hanging from the ceiling.",Organizational slack; Resource allocation; Selection and staffing,
76,Reserve inactive workers,Insect,A large fraction of ant colonies is persistently inactive and mobilizes only when demand spikes.,Organizational slack; Resilience; Teams and groups,
77,Temporal polyethism,Insect,"Bees move through fixed job sequences by age, from nursing to guarding to foraging.",Careers and mobility; Organizational design; Status and hierarchy,
78,Termite mound passive ventilation,Insect,"Mound geometry drives air exchange using only external temperature swings, with no active control.",Organizational design; Coordination; Rules and bureaucracy,
79,Army ant self-assembly bridges,Insect,"Individual ants lock together to form living bridges, and adjust size to traffic and detour cost.",Coordination; Teams and groups; Organizational design,
80,Bee balling of hornets,Insect,"Honeybees surround an intruder and vibrate until it overheats, at temperatures they barely survive.",Collective action; Crisis management; Cooperation,
81,Genetic diversity and hive thermoregulation,Insect,"Multiply mated queens produce workers with staggered temperature thresholds, smoothing hive climate.",Diversity; Reliability and safety; Teams and groups,
82,Locust phase polyphenism,Insect,Crowding transforms solitary green grasshoppers into gregarious swarming locusts within hours.,Organizational identity; Organizational change; Collective action,
83,Periodical cicada prime-number cycles,Insect,"Broods emerge every 13 or 17 years, cycles too long and indivisible for predators to track.",Temporality and timing; Competitive dynamics; Strategy,
84,Aphid sterile soldier castes,Insect,Genetically identical clones produce a defensive caste that will never reproduce.,Cooperation; Agency and incentives; Organizational design,
85,Cuckoo bumblebee usurpation,Insect,A parasitic queen kills the resident queen and directs the existing workforce to raise her own brood.,Succession; Power and politics; Leadership,
86,Ant propaganda substances,Insect,Raiding ants release chemicals that trigger panic and disorganization in the defending colony.,Deception and misconduct; Competitive dynamics; Communication,
87,Bolas spider aggressive mimicry,Insect,"The spider emits a counterfeit moth sex pheromone, tuned to the species flying that hour.",Deception and misconduct; Signaling; Strategy,
88,Necrophoresis,Insect,"Ants carry out any nestmate bearing oleic acid, including live ones artificially daubed with it.",Selection and staffing; Rules and bureaucracy; Exit and divestiture,
89,Royal jelly caste determination,Insect,Identical larvae become queens or workers based purely on what they are fed.,Careers and mobility; Status and hierarchy; Resource allocation,
90,Fig-wasp sanctions,Insect,"Fig trees abort fruit from wasps that fail to pollinate, enforcing an obligate mutualism.",Governance; Alliances; Trust and opportunism,
91,Buzz pollination,Insect,Only bees that vibrate at the right frequency can extract pollen from certain flowers.,Routines and capabilities; Competitive dynamics; Innovation,
92,Colony fission,Insect,New colonies form by splitting off with a queen and a workforce rather than by a lone founder.,Spinoffs; Entrepreneurship; Routines and capabilities,
93,Synchronous firefly flashing,Insect,Thousands of independent oscillators phase-lock into unison with no conductor.,Coordination; Isomorphism; Temporality and timing,
94,Bombardier beetle chemical defense,Insect,Two harmless stored chemicals are combined in a reaction chamber and fired as a boiling pulsed spray.,Routines and capabilities; Crisis management; Strategy,
95,Weaver ant use of larval silk,Insect,Adults hold their own larvae like glue guns to stitch leaves into nests.,Resource allocation; Careers and mobility; Organizational design,
96,Ant nest relocation with dissent,Insect,Some ants continue transporting nestmates back to the abandoned nest after a move is decided.,Decision making; Organizational change; Power and politics,
97,Dung beetle celestial navigation,Insect,"Beetles roll dung in a straight line by orienting to the Milky Way, ignoring local landmarks.",Strategy; Decision making; Search and attention,
